zip3,year,quarter,hpi_index
13,2011,1,238.47
13,2011,2,235.84
13,2011,3,240.04
13,2011,4,238.31
13,2012,1,235.28
13,2012,2,232.87
13,2012,3,236.11
13,2012,4,238.21
13,2013,1,239.34
13,2013,2,241.23
13,2013,3,232.56
13,2013,4,238.37
13,2014,1,235.9
13,2014,2,239.28
13,2014,3,242.8
13,2014,4,241.72
13,2015,1,247.4
13,2015,2,248.88
13,2015,3,244.79
13,2015,4,255.44
13,2016,1,253.23
13,2016,2,253.65
13,2016,3,259.28
13,2016,4,264.66
13,2017,1,260.3
13,2017,2,265.21
13,2017,3,268.75
13,2017,4,275.07
13,2018,1,275.72
13,2018,2,289.67
13,2018,3,286.8
13,2018,4,287.49
13,2019,1,289.54
13,2019,2,298.72
13,2019,3,300.35
13,2019,4,300.85
13,2020,1,306.81
13,2020,2,312.3
13,2020,3,310.34
13,2020,4,320.27
13,2021,1,328.21
13,2021,2,345.4
13,2021,3,356.92
13,2021,4,375.05
13,2022,1,380.87
13,2022,2,400.41
13,2022,3,420.75
13,2022,4,398.53
13,2023,1,384.43
13,2023,2,417.99
13,2023,3,413.74
13,2023,4,449.38
13,2024,1,436.36
13,2024,2,465.14
13,2024,3,449.17
13,2024,4,467.31
13,2025,1,473.27
13,2025,2,506.04
13,2025,3,474.56
13,2025,4,508.8
14,1995,1,100.0
14,1995,2,102.63
14,1995,3,103.76
14,1995,4,102.7
14,1996,1,105.74
14,1996,2,105.6
14,1996,3,107.84
14,1996,4,107.68
14,1997,1,107.87
14,1997,2,108.63
14,1997,3,112.45
14,1997,4,113.06
14,1998,1,115.03
14,1998,2,116.78
14,1998,3,120.09
14,1998,4,120.71
14,1999,1,123.35
14,1999,2,127.06
14,1999,3,131.01
14,1999,4,134.09
14,2000,1,138.85
14,2000,2,144.69
14,2000,3,149.18
14,2000,4,152.3
14,2001,1,157.87
14,2001,2,161.74
14,2001,3,167.2
14,2001,4,171.52
14,2002,1,174.9
14,2002,2,180.6
14,2002,3,185.07
14,2002,4,189.47
14,2003,1,193.37
14,2003,2,196.5
14,2003,3,200.64
14,2003,4,208.34
14,2004,1,210.77
14,2004,2,216.46
14,2004,3,224.91
14,2004,4,229.03
14,2005,1,233.49
14,2005,2,238.96
14,2005,3,243.38
14,2005,4,244.99
14,2006,1,245.84
14,2006,2,245.58
14,2006,3,240.33
14,2006,4,241.75
14,2007,1,239.63
14,2007,2,238.54
14,2007,3,228.18
14,2007,4,228.48
14,2008,1,227.66
14,2008,2,218.67
14,2008,3,210.82
14,2008,4,210.22
14,2009,1,211.7
14,2009,2,203.48
14,2009,3,198.79
14,2009,4,199.4
14,2010,1,196.69
14,2010,2,196.86
14,2010,3,197.38
14,2010,4,197.26
14,2011,1,194.57
14,2011,2,189.17
14,2011,3,189.37
14,2011,4,191.05
14,2012,1,187.15
14,2012,2,185.65
14,2012,3,186.58
14,2012,4,187.27
14,2013,1,186.72
14,2013,2,187.42
14,2013,3,187.35
14,2013,4,188.92
14,2014,1,188.96
14,2014,2,191.91
14,2014,3,198.26
14,2014,4,197.96
14,2015,1,197.13
14,2015,2,200.91
14,2015,3,202.45
